"ts","lot","occ","price1","price2","price3","time","diff"
"2016-10-04T02:29:00.000000000+0000","BHMNCPHST01","237","11.975","17.1875","17.1875","1751883605432","1"
"2016-10-04T02:29:00.000000000+0000","BHMMBMMBX01","264","13.842794759825328","18.421397379912662","18.421397379912662","1751883605432","1"
"2016-10-04T02:29:00.000000000+0000","BHMBCCMKT01","61","11.057192374350088","14.028596187175042","14.028596187175042","1751883605432","1"
"2016-10-04T02:29:00.000000000+0000","BHMNCPNST01","249","15.1340206185567","19.06701030927835","19.06701030927835","1751883605446","1"
"2016-10-04T02:29:00.000000000+0000","BHMEURBRD01","117","12.48936170212766","17.74468085106383","17.74468085106383","1751883605446","1"
"2016-10-04T02:29:00.000000000+0000","Shopping","614","13.197916666666666","17.598958333333332","17.598958333333332","1751883605446","1"
"2016-10-04T02:29:00.000000000+0000","Broad Street","178","12.579710144927535","17.78985507246377","17.78985507246377","1751883605446","1"
"2016-10-04T02:29:00.000000000+0000","BHMBCCTHL01","120","13.10077519379845","18.050387596899224","18.050387596899224","1751883605496","1"
"2016-10-04T02:29:00.000000000+0000","Others-CCCPS8","445","13.366111951588502","20.0","20.0","1751883605496","1"
"2016-10-04T02:29:00.000000000+0000","Others-CCCPS105a","709","13.529118964659034","18.264559482329517","18.264559482329517","1751883605496","1"
"2016-10-04T02:29:00.000000000+0000","Others-CCCPS119a","195","10.695683196575098","13.847841598287548","13.847841598287548","1751883605496","1"
"2016-10-04T02:55:00.000000000+0000","Others-CCCPS8","478","13.61573373676248","18.80786686838124","18.80786686838124","1751883605546","1"
"2016-10-04T02:29:00.000000000+0000","Others-CCCPS135a","1081","12.783929951068762","17.89196497553438","17.89196497553438","1751883605546","1"
"2016-10-04T02:29:00.000000000+0000","Others-CCCPS98","588","11.894940380277152","17.447470190138574","17.447470190138574","1751883605546","1"
"2016-10-04T02:55:00.000000000+0000","BHMNCPNST01","267","15.505154639175258","19.75257731958763","19.75257731958763","1751883605546","1"
"2016-10-04T02:29:00.000000000+0000","Others-CCCPS202","547","11.862444671433435","17.131222335716718","17.131222335716718","1751883605546","1"
"2016-10-04T02:55:00.000000000+0000","Others-CCCPS135a","1467","13.77800669585372","20.0","20.0","1751883605596","1"
"2016-10-04T02:55:00.000000000+0000","Others-CCCPS202","665","12.2642151855635","17.63210759278175","17.63210759278175","1751883605596","1"
"2016-10-04T02:55:00.000000000+0000","Others-CCCPS105a","780","13.88252862120458","20.0","20.0","1751883605596","1"
"2016-10-04T02:55:00.000000000+0000","BHMEURBRD01","174","13.702127659574469","15.051063829787235","15.051063829787235","1751883605646","1"
"2016-10-04T02:55:00.000000000+0000","BHMMBMMBX01","302","14.395924308588064","15.697962154294032","15.697962154294032","1751883605646","1"
"2016-10-04T02:55:00.000000000+0000","BHMBCCTHL01","129","13.333333333333332","18.166666666666668","18.166666666666668","1751883605646","1"
"2016-10-04T02:55:00.000000000+0000","Others-CCCPS98","678","12.184982275217532","20.0","20.0","1751883605646","1"
"2016-10-04T02:55:00.000000000+0000","Broad Street","269","13.898550724637682","18.44927536231884","18.44927536231884","1751883605696","1"
"2016-10-04T02:55:00.000000000+0000","Shopping","761","13.963541666666668","18.481770833333332","18.481770833333332","1751883605696","1"
"2016-10-04T02:55:00.000000000+0000","BHMNCPHST01","315","12.625","17.5125","17.5125","1751883605696","1"
"2016-10-04T02:55:00.000000000+0000","Others-CCCPS119a","238","10.849090260435247","16.924545130217624","16.924545130217624","1751883605696","1"
"2016-10-04T02:55:00.000000000+0000","BHMBCCMKT01","64","11.109185441941074","14.054592720970538","14.054592720970538","1751883605696","1"
"2016-10-04T03:29:00.000000000+0000","Shopping","958","14.989583333333332","18.994791666666664","18.994791666666664","1751883605746","1"
"2016-10-04T03:29:00.000000000+0000","Others-CCCPS119a","323","11.152336782019265","17.07616839100963","17.07616839100963","1751883605746","1"
"2016-10-04T03:29:00.000000000+0000","BHMBCCTHL01","155","14.005167958656331","18.502583979328165","18.502583979328165","1751883605746","1"
"2016-10-04T03:29:00.000000000+0000","Others-CCCPS8","518","13.918305597579426","20.0","20.0","1751883605746","1"
"2016-10-04T03:29:00.000000000+0000","Broad Street","415","16.014492753623188","20.0","20.0","1751883605796","1"
"2016-10-04T03:29:00.000000000+0000","BHMNCPNST01","278","15.731958762886597","19.3659793814433","19.3659793814433","1751883605796","1"
"2016-10-04T03:29:00.000000000+0000","Others-CCCPS135a","2007","15.16868400721092","19.08434200360546","19.08434200360546","1751883605796","1"
"2016-10-04T03:29:00.000000000+0000","BHMEURBRD01","269","15.72340425531915","19.861702127659573","19.861702127659573","1751883605796","1"
